subject,point_FPSR,name_of_the_statistical_factor,importance_of_the_statistical_factor
Удмуртская Республика,3_10,"Количество потерпевших, в том числе несовершеннолетних",901
Удмуртская Республика,3_10,"Количество потерпевших, в том числе женщин",4534
Чувашская Республика,3_10,Количество потерпевших,5363
Чувашская Республика,3_10,"Количество потерпевших, в том числе юридических лиц",985
Чувашская Республика,3_10,"Количество потерпевших, в том числе физических лиц",4378
Чувашская Республика,3_10,"Количество потерпевших, в том числе погибших",68
Чувашская Республика,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",109
Чувашская Республика,3_10,"Количество потерпевших, в том числе несовершеннолетних",736
Чувашская Республика,3_10,"Количество потерпевших, в том числе женщин",2288
Кировская область,3_10,Количество потерпевших,7714
Кировская область,3_10,"Количество потерпевших, в том числе юридических лиц",1325
Кировская область,3_10,"Количество потерпевших, в том числе физических лиц",6389
Кировская область,3_10,"Количество потерпевших, в том числе погибших",97
Кировская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",136
Кировская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",1131
Кировская область,3_10,"Количество потерпевших, в том числе женщин",3032
Нижегородская область,3_10,Количество потерпевших,14254
Нижегородская область,3_10,"Количество потерпевших, в том числе юридических лиц",3005
Нижегородская область,3_10,"Количество потерпевших, в том числе физических лиц",11249
Нижегородская область,3_10,"Количество потерпевших, в том числе погибших",235
Нижегородская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",339
Нижегородская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",1221
Нижегородская область,3_10,"Количество потерпевших, в том числе женщин",5664
Оренбургская область,3_10,Количество потерпевших,10267
Оренбургская область,3_10,"Количество потерпевших, в том числе юридических лиц",1451
Оренбургская область,3_10,"Количество потерпевших, в том числе физических лиц",8816
Оренбургская область,3_10,"Количество потерпевших, в том числе погибших",130
Оренбургская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",202
Оренбургская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",1054
Оренбургская область,3_10,"Количество потерпевших, в том числе женщин",4512
Пензенская область,3_10,Количество потерпевших,5116
Пензенская область,3_10,"Количество потерпевших, в том числе юридических лиц",652
Пензенская область,3_10,"Количество потерпевших, в том числе физических лиц",4464
Пензенская область,3_10,"Количество потерпевших, в том числе погибших",106
Пензенская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",137
Пензенская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",677
Пензенская область,3_10,"Количество потерпевших, в том числе женщин",2147
Пермский край,3_10,Количество потерпевших,15715
Пермский край,3_10,"Количество потерпевших, в том числе юридических лиц",2981
Пермский край,3_10,"Количество потерпевших, в том числе физических лиц",12734
Пермский край,3_10,"Количество потерпевших, в том числе погибших",185
Пермский край,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",370
Пермский край,3_10,"Количество потерпевших, в том числе несовершеннолетних",1597
Пермский край,3_10,"Количество потерпевших, в том числе женщин",6202
Самарская область,3_10,Количество потерпевших,17054
Самарская область,3_10,"Количество потерпевших, в том числе юридических лиц",4434
Самарская область,3_10,"Количество потерпевших, в том числе физических лиц",12620
Самарская область,3_10,"Количество потерпевших, в том числе погибших",174
Самарская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",279
Самарская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",1149
Самарская область,3_10,"Количество потерпевших, в том числе женщин",5944
Саратовская область,3_10,Количество потерпевших,11544
Саратовская область,3_10,"Количество потерпевших, в том числе юридических лиц",2103
Саратовская область,3_10,"Количество потерпевших, в том числе физических лиц",9441
Саратовская область,3_10,"Количество потерпевших, в том числе погибших",186
Саратовская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",179
Саратовская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",1027
Саратовская область,3_10,"Количество потерпевших, в том числе женщин",4574
Ульяновская область,3_10,Количество потерпевших,5476
Ульяновская область,3_10,"Количество потерпевших, в том числе юридических лиц",1171
Ульяновская область,3_10,"Количество потерпевших, в том числе физических лиц",4305
Ульяновская область,3_10,"Количество потерпевших, в том числе погибших",108
Ульяновская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",116
Ульяновская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",515
Ульяновская область,3_10,"Количество потерпевших, в том числе женщин",2240
Уральский фед.округ,3_10,Количество потерпевших,68423
Уральский фед.округ,3_10,"Количество потерпевших, в том числе юридических лиц",14261
Уральский фед.округ,3_10,"Количество потерпевших, в том числе физических лиц",54162
Уральский фед.округ,3_10,"Количество потерпевших, в том числе погибших",947
Уральский фед.округ,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",1555
Уральский фед.округ,3_10,"Количество потерпевших, в том числе несовершеннолетних",6277
Уральский фед.округ,3_10,"Количество потерпевших, в том числе женщин",26750
Курганская область,3_10,Количество потерпевших,5075
Курганская область,3_10,"Количество потерпевших, в том числе юридических лиц",660
Курганская область,3_10,"Количество потерпевших, в том числе физических лиц",4415
Курганская область,3_10,"Количество потерпевших, в том числе погибших",78
Курганская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",91
Курганская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",811
Курганская область,3_10,"Количество потерпевших, в том числе женщин",2328
Свердловская область,3_10,Количество потерпевших,20243
Свердловская область,3_10,"Количество потерпевших, в том числе юридических лиц",4611
Свердловская область,3_10,"Количество потерпевших, в том числе физических лиц",15632
Свердловская область,3_10,"Количество потерпевших, в том числе погибших",299
Свердловская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",455
Свердловская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",1823
Свердловская область,3_10,"Количество потерпевших, в том числе женщин",7876
Тюменская область (с а/о),3_10,Количество потерпевших,18673
Тюменская область (с а/о),3_10,"Количество потерпевших, в том числе юридических лиц",4118
Тюменская область (с а/о),3_10,"Количество потерпевших, в том числе физических лиц",14555
Тюменская область (с а/о),3_10,"Количество потерпевших, в том числе погибших",329
Тюменская область (с а/о),3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",577
Тюменская область (с а/о),3_10,"Количество потерпевших, в том числе несовершеннолетних",1477
Тюменская область (с а/о),3_10,"Количество потерпевших, в том числе женщин",6802
Тюменская обл. (без а/о),3_10,Количество потерпевших,9009
Тюменская обл. (без а/о),3_10,"Количество потерпевших, в том числе юридических лиц",1836
Тюменская обл. (без а/о),3_10,"Количество потерпевших, в том числе физических лиц",7173
Тюменская обл. (без а/о),3_10,"Количество потерпевших, в том числе погибших",174
Тюменская обл. (без а/о),3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",254
Тюменская обл. (без а/о),3_10,"Количество потерпевших, в том числе несовершеннолетних",604
Тюменская обл. (без а/о),3_10,"Количество потерпевших, в том числе женщин",3506
Ханты-Мансийский АО - Югра,3_10,Количество потерпевших,7086
Ханты-Мансийский АО - Югра,3_10,"Количество потерпевших, в том числе юридических лиц",1679
Ханты-Мансийский АО - Югра,3_10,"Количество потерпевших, в том числе физических лиц",5407
Ханты-Мансийский АО - Югра,3_10,"Количество потерпевших, в том числе погибших",103
Ханты-Мансийский АО - Югра,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",231
Ханты-Мансийский АО - Югра,3_10,"Количество потерпевших, в том числе несовершеннолетних",641
Ханты-Мансийский АО - Югра,3_10,"Количество потерпевших, в том числе женщин",2447
Ямало-Ненецкий АО,3_10,Количество потерпевших,2578
Ямало-Ненецкий АО,3_10,"Количество потерпевших, в том числе юридических лиц",603
Ямало-Ненецкий АО,3_10,"Количество потерпевших, в том числе физических лиц",1975
Ямало-Ненецкий АО,3_10,"Количество потерпевших, в том числе погибших",52
Ямало-Ненецкий АО,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",92
Ямало-Ненецкий АО,3_10,"Количество потерпевших, в том числе несовершеннолетних",232
Ямало-Ненецкий АО,3_10,"Количество потерпевших, в том числе женщин",849
Челябинская область,3_10,Количество потерпевших,24432
Челябинская область,3_10,"Количество потерпевших, в том числе юридических лиц",4872
Челябинская область,3_10,"Количество потерпевших, в том числе физических лиц",19560
Челябинская область,3_10,"Количество потерпевших, в том числе погибших",241
Челябинская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",432
Челябинская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",2166
Челябинская область,3_10,"Количество потерпевших, в том числе женщин",9744
Сибирский фед.округ,3_10,Количество потерпевших,110212
Сибирский фед.округ,3_10,"Количество потерпевших, в том числе юридических лиц",18105
Сибирский фед.округ,3_10,"Количество потерпевших, в том числе физических лиц",92107
Сибирский фед.округ,3_10,"Количество потерпевших, в том числе погибших",1685
Сибирский фед.округ,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",2782
Сибирский фед.округ,3_10,"Количество потерпевших, в том числе несовершеннолетних",10293
Сибирский фед.округ,3_10,"Количество потерпевших, в том числе женщин",44376
Республика Алтай,3_10,Количество потерпевших,1884
Республика Алтай,3_10,"Количество потерпевших, в том числе юридических лиц",360
Республика Алтай,3_10,"Количество потерпевших, в том числе физических лиц",1524
Республика Алтай,3_10,"Количество потерпевших, в том числе погибших",25
Республика Алтай,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",40
Республика Алтай,3_10,"Количество потерпевших, в том числе несовершеннолетних",188
Республика Алтай,3_10,"Количество потерпевших, в том числе женщин",747
Республика Тыва,3_10,Количество потерпевших,2573
Республика Тыва,3_10,"Количество потерпевших, в том числе юридических лиц",121
Республика Тыва,3_10,"Количество потерпевших, в том числе физических лиц",2452
Республика Тыва,3_10,"Количество потерпевших, в том числе погибших",100
Республика Тыва,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",185
Республика Тыва,3_10,"Количество потерпевших, в том числе несовершеннолетних",160
Республика Тыва,3_10,"Количество потерпевших, в том числе женщин",1263
Республика Хакасия,3_10,Количество потерпевших,3609
Республика Хакасия,3_10,"Количество потерпевших, в том числе юридических лиц",483
Республика Хакасия,3_10,"Количество потерпевших, в том числе физических лиц",3126
Республика Хакасия,3_10,"Количество потерпевших, в том числе погибших",57
Республика Хакасия,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",115
Республика Хакасия,3_10,"Количество потерпевших, в том числе несовершеннолетних",492
Республика Хакасия,3_10,"Количество потерпевших, в том числе женщин",1462
Алтайский край,3_10,Количество потерпевших,15820
Алтайский край,3_10,"Количество потерпевших, в том числе юридических лиц",1917
Алтайский край,3_10,"Количество потерпевших, в том числе физических лиц",13903
Алтайский край,3_10,"Количество потерпевших, в том числе погибших",212
Алтайский край,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",315
Алтайский край,3_10,"Количество потерпевших, в том числе несовершеннолетних",1274
Алтайский край,3_10,"Количество потерпевших, в том числе женщин",7054
Красноярский край,3_10,Количество потерпевших,18504
Красноярский край,3_10,"Количество потерпевших, в том числе юридических лиц",2748
Красноярский край,3_10,"Количество потерпевших, в том числе физических лиц",15756
Красноярский край,3_10,"Количество потерпевших, в том числе погибших",309
Красноярский край,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",481
Красноярский край,3_10,"Количество потерпевших, в том числе несовершеннолетних",1921
Красноярский край,3_10,"Количество потерпевших, в том числе женщин",7430
Иркутская область,3_10,Количество потерпевших,14516
Иркутская область,3_10,"Количество потерпевших, в том числе юридических лиц",1608
Иркутская область,3_10,"Количество потерпевших, в том числе физических лиц",12908
Иркутская область,3_10,"Количество потерпевших, в том числе погибших",317
Иркутская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",473
Иркутская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",1713
Иркутская область,3_10,"Количество потерпевших, в том числе женщин",6182
Кемеровская область - Кузбасс,3_10,Количество потерпевших,18149
Кемеровская область - Кузбасс,3_10,"Количество потерпевших, в том числе юридических лиц",3554
Кемеровская область - Кузбасс,3_10,"Количество потерпевших, в том числе физических лиц",14595
Кемеровская область - Кузбасс,3_10,"Количество потерпевших, в том числе погибших",250
Кемеровская область - Кузбасс,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",484
Кемеровская область - Кузбасс,3_10,"Количество потерпевших, в том числе несовершеннолетних",1647
Кемеровская область - Кузбасс,3_10,"Количество потерпевших, в том числе женщин",7036
Новосибирская область,3_10,Количество потерпевших,18804
Новосибирская область,3_10,"Количество потерпевших, в том числе юридических лиц",3837
Новосибирская область,3_10,"Количество потерпевших, в том числе физических лиц",14967
Новосибирская область,3_10,"Количество потерпевших, в том числе погибших",206
Новосибирская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",317
Новосибирская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",1223
Новосибирская область,3_10,"Количество потерпевших, в том числе женщин",7123
Омская область,3_10,Количество потерпевших,9024
Омская область,3_10,"Количество потерпевших, в том числе юридических лиц",1862
Омская область,3_10,"Количество потерпевших, в том числе физических лиц",7162
Омская область,3_10,"Количество потерпевших, в том числе погибших",135
Омская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",231
Омская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",810
Омская область,3_10,"Количество потерпевших, в том числе женщин",3397
Томская область,3_10,Количество потерпевших,7329
Томская область,3_10,"Количество потерпевших, в том числе юридических лиц",1615
Томская область,3_10,"Количество потерпевших, в том числе физических лиц",5714
Томская область,3_10,"Количество потерпевших, в том числе погибших",74
Томская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",141
Томская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",865
Томская область,3_10,"Количество потерпевших, в том числе женщин",2682
Дальневосточный фед.округ,3_10,Количество потерпевших,55544
Дальневосточный фед.округ,3_10,"Количество потерпевших, в том числе юридических лиц",7285
Дальневосточный фед.округ,3_10,"Количество потерпевших, в том числе физических лиц",48259
Дальневосточный фед.округ,3_10,"Количество потерпевших, в том числе погибших",1222
Дальневосточный фед.округ,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",1662
Дальневосточный фед.округ,3_10,"Количество потерпевших, в том числе несовершеннолетних",5570
Дальневосточный фед.округ,3_10,"Количество потерпевших, в том числе женщин",23442
Республика Бурятия,3_10,Количество потерпевших,7715
Республика Бурятия,3_10,"Количество потерпевших, в том числе юридических лиц",723
Республика Бурятия,3_10,"Количество потерпевших, в том числе физических лиц",6992
Республика Бурятия,3_10,"Количество потерпевших, в том числе погибших",150
Республика Бурятия,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",226
Республика Бурятия,3_10,"Количество потерпевших, в том числе несовершеннолетних",625
Республика Бурятия,3_10,"Количество потерпевших, в том числе женщин",3808
Республика Саха (Якутия),3_10,Количество потерпевших,4865
Республика Саха (Якутия),3_10,"Количество потерпевших, в том числе юридических лиц",455
Республика Саха (Якутия),3_10,"Количество потерпевших, в том числе физических лиц",4410
Республика Саха (Якутия),3_10,"Количество потерпевших, в том числе погибших",156
Республика Саха (Якутия),3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",204
Республика Саха (Якутия),3_10,"Количество потерпевших, в том числе несовершеннолетних",490
Республика Саха (Якутия),3_10,"Количество потерпевших, в том числе женщин",1968
Забайкальский край,3_10,Количество потерпевших,8615
Забайкальский край,3_10,"Количество потерпевших, в том числе юридических лиц",1603
Забайкальский край,3_10,"Количество потерпевших, в том числе физических лиц",7012
Забайкальский край,3_10,"Количество потерпевших, в том числе погибших",232
Забайкальский край,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",264
Забайкальский край,3_10,"Количество потерпевших, в том числе несовершеннолетних",1024
Забайкальский край,3_10,"Количество потерпевших, в том числе женщин",3546
Приморский край,3_10,Количество потерпевших,12106
Приморский край,3_10,"Количество потерпевших, в том числе юридических лиц",1496
Приморский край,3_10,"Количество потерпевших, в том числе физических лиц",10610
Приморский край,3_10,"Количество потерпевших, в том числе погибших",239
Приморский край,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",368
Приморский край,3_10,"Количество потерпевших, в том числе несовершеннолетних",1064
Приморский край,3_10,"Количество потерпевших, в том числе женщин",4909
Хабаровский край,3_10,Количество потерпевших,8485
Хабаровский край,3_10,"Количество потерпевших, в том числе юридических лиц",1191
Хабаровский край,3_10,"Количество потерпевших, в том числе физических лиц",7294
Хабаровский край,3_10,"Количество потерпевших, в том числе погибших",158
Хабаровский край,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",185
Хабаровский край,3_10,"Количество потерпевших, в том числе несовершеннолетних",769
Хабаровский край,3_10,"Количество потерпевших, в том числе женщин",3746
Камчатский край,3_10,Количество потерпевших,1901
Камчатский край,3_10,"Количество потерпевших, в том числе юридических лиц",200
Камчатский край,3_10,"Количество потерпевших, в том числе физических лиц",1701
Камчатский край,3_10,"Количество потерпевших, в том числе погибших",40
Камчатский край,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",63
Камчатский край,3_10,"Количество потерпевших, в том числе несовершеннолетних",222
Камчатский край,3_10,"Количество потерпевших, в том числе женщин",710
Амурская область,3_10,Количество потерпевших,6798
Амурская область,3_10,"Количество потерпевших, в том числе юридических лиц",1126
Амурская область,3_10,"Количество потерпевших, в том числе физических лиц",5672
Амурская область,3_10,"Количество потерпевших, в том числе погибших",142
Амурская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",172
Амурская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",785
Амурская область,3_10,"Количество потерпевших, в том числе женщин",2556
Магаданская область,3_10,Количество потерпевших,846
Магаданская область,3_10,"Количество потерпевших, в том числе юридических лиц",63
Магаданская область,3_10,"Количество потерпевших, в том числе физических лиц",783
Магаданская область,3_10,"Количество потерпевших, в том числе погибших",24
Магаданская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",40
Магаданская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",110
Магаданская область,3_10,"Количество потерпевших, в том числе женщин",367
Сахалинская область,3_10,Количество потерпевших,2701
Сахалинская область,3_10,"Количество потерпевших, в том числе юридических лиц",273
Сахалинская область,3_10,"Количество потерпевших, в том числе физических лиц",2428
Сахалинская область,3_10,"Количество потерпевших, в том числе погибших",50
Сахалинская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",93
Сахалинская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",244
Сахалинская область,3_10,"Количество потерпевших, в том числе женщин",1163
Еврейская АО,3_10,Количество потерпевших,1152
Еврейская АО,3_10,"Количество потерпевших, в том числе юридических лиц",116
Еврейская АО,3_10,"Количество потерпевших, в том числе физических лиц",1036
Еврейская АО,3_10,"Количество потерпевших, в том числе погибших",21
Еврейская АО,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",30
Еврейская АО,3_10,"Количество потерпевших, в том числе несовершеннолетних",183
Еврейская АО,3_10,"Количество потерпевших, в том числе женщин",528
Чукотский АО,3_10,Количество потерпевших,360
Чукотский АО,3_10,"Количество потерпевших, в том числе юридических лиц",39
Чукотский АО,3_10,"Количество потерпевших, в том числе физических лиц",321
Чукотский АО,3_10,"Количество потерпевших, в том числе погибших",10
Чукотский АО,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",17
Чукотский АО,3_10,"Количество потерпевших, в том числе несовершеннолетних",54
Чукотский АО,3_10,"Количество потерпевших, в том числе женщин",141
"ФТ ""Сириус""",3_10,Количество потерпевших,241
"ФТ ""Сириус""",3_10,"Количество потерпевших, в том числе юридических лиц",38
"ФТ ""Сириус""",3_10,"Количество потерпевших, в том числе физических лиц",203
"ФТ ""Сириус""",3_10,"Количество потерпевших, в том числе погибших",2
"ФТ ""Сириус""",3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",3
"ФТ ""Сириус""",3_10,"Количество потерпевших, в том числе несовершеннолетних",11
"ФТ ""Сириус""",3_10,"Количество потерпевших, в том числе женщин",100
Всего по России,3_10,Количество потерпевших,764563
Всего по России,3_10,"Количество потерпевших, в том числе юридических лиц",147620
Всего по России,3_10,"Количество потерпевших, в том числе физических лиц",616943
Всего по России,3_10,"Количество потерпевших, в том числе погибших",10948
Всего по России,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",16476
Всего по России,3_10,"Количество потерпевших, в том числе несовершеннолетних",62398
Всего по России,3_10,"Количество потерпевших, в том числе женщин",295708
